Team;Result;For;Aga;Diff;Tries;Conv;Pens;Drop;Opposition;Ground;Match.Date
Wales;lost;15;17;-2;0;0;4;1;v Ireland;Millennium Stadium;21 Mar 2009
Ireland;won;29;11;+18;2;2;5;0;v Italy;Croke Park;6 Feb 2010
Italy;lost;11;29;-18;1;0;2;0;v Ireland;Croke Park;6 Feb 2010
England;won;30;17;+13;3;3;3;0;v Wales;Twickenham;6 Feb 2010
Wales;lost;17;30;-13;2;2;1;0;v England;Twickenham;6 Feb 2010
France;won;18;9;+9;2;1;2;0;v Scotland;Murrayfield;7 Feb 2010
Scotland;lost;9;18;-9;0;0;3;0;v France;Murrayfield;7 Feb 2010
Scotland;lost;24;31;-7;2;1;2;2;v Wales;Millennium Stadium;13 Feb 2010
Wales;won;31;24;+7;3;2;4;0;v Scotland;Millennium Stadium;13 Feb 2010
France;won;33;10;+23;3;3;2;2;v Ireland;Stade de France;13 Feb 2010
Ireland;lost;10;33;-23;1;1;1;0;v France;Stade de France;13 Feb 2010
England;won;17;12;+5;1;0;3;1;v Italy;Rome;14 Feb 2010
Italy;lost;12;17;-5;0;0;4;0;v England;Rome;14 Feb 2010
France;won;26;20;+6;2;2;4;0;v Wales;Millennium Stadium;26 Feb 2010
Wales;lost;20;26;-6;2;2;2;0;v France;Millennium Stadium;26 Feb 2010
Italy;won;16;12;+4;1;1;3;0;v Scotland;Rome;27 Feb 2010
Scotland;lost;12;16;-4;0;0;3;1;v Italy;Rome;27 Feb 2010
England;lost;16;20;-4;1;1;2;1;v Ireland;Twickenham;27 Feb 2010
Ireland;won;20;16;+4;3;1;1;0;v England;Twickenham;27 Feb 2010
Ireland;won;27;12;+15;3;0;3;1;v Wales;Croke Park;13 Mar 2010
Wales;lost;12;27;-15;0;0;4;0;v Ireland;Croke Park;13 Mar 2010
England;draw;15;15;0;0;0;5;0;v Scotland;Murrayfield;13 Mar 2010
Scotland;draw;15;15;0;0;0;4;1;v England;Murrayfield;13 Mar 2010
France;won;46;20;+26;6;5;2;0;v Italy;Stade de France;14 Mar 2010
Italy;lost;20;46;-26;2;2;2;0;v France;Stade de France;14 Mar 2010
Italy;lost;10;33;-23;1;1;1;0;v Wales;Millennium Stadium;20 Mar 2010
Wales;won;33;10;+23;3;3;4;0;v Italy;Millennium Stadium;20 Mar 2010
Ireland;lost;20;23;-3;2;2;2;0;v Scotland;Croke Park;20 Mar 2010
Scotland;won;23;20;+3;1;0;5;1;v Ireland;Croke Park;20 Mar 2010
England;lost;10;12;-2;1;1;1;0;v France;Stade de France;20 Mar 2010
